id,country,startingPop,area,area,,,
101,Sierra Leone,8238113,"71,740 sq_km","71,740 ",,,
102,Hong Kong,7585785,"1,104 sq_km","1,104 ",,,
103,Laos,7439920,"236,800 sq_km","236,800 ",,,
104,Paraguay,7270717,"406,752 sq_km","406,752 ",,,
105,Libya,7007887,"1,759,540 sq_km","1,759,540 ",,,
106,Bulgaria,6866274,"110,879 sq_km","110,879 ",,,
107,Lebanon,6752766,"10,452 sq_km","10,452 ",,,
108,Nicaragua,6748507,"130,373 sq_km","130,373 ",,,
109,Kyrgyzstan,6689349,"199,951 sq_km","199,951 ",,,
110,El Salvador,6537250,"21,041 sq_km","21,041 ",,,
111,Turkmenistan,6168788,"488,100 sq_km","488,100 ",,,
112,Singapore,5925135,710 sq_km,710 ,,,
113,Denmark,5825798,"43,094 sq_km","43,094 ",,,
114,Finland,5553102,"338,424 sq_km","338,424 ",,,
115,Norway,5492570,"323,802 sq_km","323,802 ",,,
116,Slovakia,5460937,"49,037 sq_km","49,037 ",,,
117,Oman,5296006,"309,500 sq_km","309,500 ",,,
118,Palestine,5293440,"6,220 sq_km","6,220 ",,,
119,Liberia,5252834,"111,369 sq_km","111,369 ",,,
120,Costa Rica,5165346,"51,100 sq_km","51,100 ",,,
121,Ireland,5008554,"70,273 sq_km","70,273 ",,,
122,Central African Republic,4971922,"622,984 sq_km","622,984 ",,,
123,New Zealand,4883704,"270,467 sq_km","270,467 ",,,
124,Mauritania,4848828,"1,030,700 sq_km","1,030,700 ",,,
125,Panama,4420589,"75,417 sq_km","75,417 ",,,
126,Kuwait,4366698,"17,818 sq_km","17,818 ",,,
127,Croatia,4067642,"56,594 sq_km","56,594 ",,,
128,Moldova,4017984,"33,846 sq_km","33,846 ",,,
129,Georgia,3973946,"69,700 sq_km","69,700 ",,,
130,Eritrea,3633796,"117,600 sq_km","117,600 ",,,
131,Uruguay,3491832,"181,034 sq_km","181,034 ",,,
132,Mongolia,3359247,"1,564,110 sq_km","1,564,110 ",,,
133,Bosnia And Herzegovina,3251612,"51,209 sq_km","51,209 ",,,
134,Jamaica,2980575,"10,991 sq_km","10,991 ",,,
135,Armenia,2970929,"29,743 sq_km","29,743 ",,,
136,Qatar,2962425,"11,586 sq_km","11,586 ",,,
137,Albania,2869700,"28,748 sq_km","28,748 ",,,
138,Puerto Rico,2806918,"8,870 sq_km","8,870 ",,,
139,Lithuania,2670680,"65,300 sq_km","65,300 ",,,
140,Namibia,2614500,"825,615 sq_km","825,615 ",,,
141,Gambia,2528326,"10,689 sq_km","10,689 ",,,
142,Botswana,2423535,"582,000 sq_km","582,000 ",,,
143,Gabon,2310507,"267,668 sq_km","267,668 ",,,
144,Lesotho,2169209,"30,355 sq_km","30,355 ",,,
145,North Macedonia,2082011,"25,713 sq_km","25,713 ",,,
146,Slovenia,2078724,"20,273 sq_km","20,273 ",,,
147,Guinea Bissau,2043512,"36,125 sq_km","36,125 ",,,
